bairro;2000;2010
AGRONOMIA;12431;13817
ANCHIETA;1281;582
ARQUIPELAGO;7619;8330
AUXILIADORA;9985;9683
AZENHA;10475;10180
BELA VISTA;10097;11128
BELEM NOVO;13787;15833
BELEM VELHO;8455;10835
BOA VISTA;9368;8750
BOM FIM;9368;9450
BOM JESUS;31215;28738
CAMAQUA;22009;19313
CAMPO NOVO;7404;6962
CASCATA;27301;22596
CAVALHADA;15403;13425
CEL APARICIO BORGES;14992;17494
CENTRO HISTORICO;36893;39154
CHACARA DAS PEDRAS;5924;6668
CHAPEU DO SOL;2620;2300
CIDADE BAIXA;18146;18450
CRISTAL;29943;27661
CRISTO REDENTOR;15505;15801
ESPIRITO SANTO;5734;5606
FARRAPOS;17083;18986
FARROUPILHA;1101;961
FLORESTA;15493;16085
GLORIA;8631;8855
GUARUJA;4390;5971
HIGIENOPOLIS;9096;10724
HIPICA;11786;20237
HUMAITA;10293;11404
INDEPENDENCIA;11327;10828
IPANEMA;20884;22726
JARDIM BOTANICO;11494;12521
JARDIM CARVALHO;25076;25323
JARDIM DO SALSO;3715;4405
JARDIM FLORESTA;4078;3499
JARDIM ISABEL;0;2835
JARDIM ITU;7569;8325
JARDIM LINDOIA;7932;8071
JARDIM SABARA;14785;13471
JARDIM SAO PEDRO;5510;5290
LAGEADO;6476;7885
LAMI;3493;4642
LOMBA DO PINHEIRO;42653;48498
MARIO QUINTANA;29066;37234
MEDIANEIRA;10663;9903
MENINO DEUS;30792;31650
MOINHOS DE VENTO;8067;7264
MONT SERRAT;10236;11236
MORRO SANTANA;19236;18852
NAVEGANTES;4160;4011
NONOAI;21826;20296
PARTENON;47750;45707
PASSO DA AREIA;20385;21364
PASSO DAS PEDRAS;24549;25896
PEDRA REDONDA;316;274
PETROPOLIS;34593;38155
PONTA GROSSA;3290;4213
PRAIA DE BELAS;1869;2117
RESTINGA;54993;60729
RIO BRANCO;16132;17531
RUBEM BERTA;68286;74522
SANTA CECILIA;5800;5768
SANTA MARIA GORETTI;3922;3320
SANTA TEREZA;59412;55505
SANTANA;25028;24638
SANTO ANTONIO;15003;13714
SAO GERALDO;9135;8706
SAO JOAO;18855;14544
SAO JOSE;30406;30073
SAO SEBASTIAO;6961;10164
SARANDI;90120;91366
SERRARIA;4682;4500
TERESOPOLIS;9837;12766
TRES FIGUEIRAS;3657;4070
TRISTEZA;14837;15396
VILA ASSUNCAO;4096;4418
VILA CONCEICAO;1467;1349
VILA IPIRANGA;20951;20958
VILA JARDIM;15361;12782
VILA JOAO PESSOA;12641;11935
VILA NOVA;33390;38127
